segment_idx,show,year
882,Melón y Melame,1999
883,Melón y Melame,1999
884,Álvaro Salas,2000
885,Álvaro Salas,2000
886,Álvaro Salas,2000
887,Álvaro Salas,2000
888,Álvaro Salas,2000
889,Álvaro Salas,2000
890,Álvaro Salas,2000
891,Álvaro Salas,2000
892,Álvaro Salas,2000
893,Álvaro Salas,2000
894,Álvaro Salas,2000
895,Álvaro Salas,2000
896,Álvaro Salas,2000
897,Álvaro Salas,2000
898,Álvaro Salas,2000
899,Álvaro Salas,2000
900,Álvaro Salas,2000
901,Álvaro Salas,2000
902,Álvaro Salas,2000
903,Álvaro Salas,2000
904,"Daniel Muñoz ""El Malo""",2000
905,"Daniel Muñoz ""El Malo""",2000
906,"Daniel Muñoz ""El Malo""",2000
907,"Daniel Muñoz ""El Malo""",2000
908,"Daniel Muñoz ""El Malo""",2000
909,"Daniel Muñoz ""El Malo""",2000
910,"Daniel Muñoz ""El Malo""",2000
911,"Daniel Muñoz ""El Malo""",2000
912,"Daniel Muñoz ""El Malo""",2000
913,"Daniel Muñoz ""El Malo""",2000
914,"Daniel Muñoz ""El Malo""",2000
915,Memo Bunke,2000
916,Memo Bunke,2000
917,Memo Bunke,2000
918,Memo Bunke,2000
919,Memo Bunke,2000
920,Memo Bunke,2000
921,Memo Bunke,2000
922,Memo Bunke,2000
923,Memo Bunke,2000
924,Memo Bunke,2000
925,Memo Bunke,2000
926,Memo Bunke,2000
927,Memo Bunke,2000
928,Memo Bunke,2000
929,Memo Bunke,2000
930,Memo Bunke,2000
931,Memo Bunke,2000
932,Memo Bunke,2000
933,Memo Bunke,2000
934,Memo Bunke,2000
935,Memo Bunke,2000
936,Memo Bunke,2000
937,Memo Bunke,2000
938,Memo Bunke,2000
939,Memo Bunke,2000
940,Memo Bunke,2000
941,Memo Bunke,2000
942,Coco Legrand,2000
943,Coco Legrand,2000
944,Coco Legrand,2000
945,Coco Legrand,2000
946,Coco Legrand,2000
947,Coco Legrand,2000
948,Coco Legrand,2000
949,Coco Legrand,2000
950,Coco Legrand,2000
951,Coco Legrand,2000
952,Coco Legrand,2000
953,Coco Legrand,2000
954,Coco Legrand,2000
955,Coco Legrand,2000
956,Coco Legrand,2000
957,Coco Legrand,2000
958,Coco Legrand,2000
959,Coco Legrand,2000
960,Coco Legrand,2000
961,Coco Legrand,2000
962,Coco Legrand,2000
963,Coco Legrand,2000
964,Coco Legrand,2000
965,Coco Legrand,2000
966,Coco Legrand,2000
967,Coco Legrand,2000
968,Coco Legrand,2000
969,Coco Legrand,2000
970,Coco Legrand,2000
971,Coco Legrand,2000
972,Coco Legrand,2000
973,Coco Legrand,2000
974,Coco Legrand,2000
975,Coco Legrand,2000
976,Coco Legrand,2000
977,Coco Legrand,2000
978,Coco Legrand,2000
979,Coco Legrand,2000
980,Coco Legrand,2000
981,Coco Legrand,2000
982,Coco Legrand,2000
983,Coco Legrand,2000
984,Coco Legrand,2000
985,Coco Legrand,2000
986,Coco Legrand,2000
987,Dino Gordillo,2000
988,Dino Gordillo,2000
989,Dino Gordillo,2000
990,Dino Gordillo,2000
991,Dino Gordillo,2000
992,Dino Gordillo,2000
993,Dino Gordillo,2000
994,Dino Gordillo,2000
995,Dino Gordillo,2000
996,Dino Gordillo,2000
997,Dino Gordillo,2000
998,Dino Gordillo,2000
999,Dino Gordillo,2000
1000,Dino Gordillo,2000
1001,Dino Gordillo,2000
1002,Dino Gordillo,2000
1003,Dino Gordillo,2000
1004,Dino Gordillo,2000
